the_geom,ObjectID,Name,Address
POINT (-90.101427140759 29.92350174278),7,All Nations Fellowship,1139  NAPOLEON AVE
POINT (-90.018297851454 30.034661072205),207,Lake Forest Con-Jehovah's Witness,6530  HAYNE BLVD
POINT (-90.123596163782 29.941639675889),389,The Episcopal Chapel of the Holy Spirit,1100  BROADWAY ST
POINT (-90.073990199686 29.930058783017),357,St. Alphonsus Church,2030  CONSTANCE ST
POINT (-89.997867094794 29.92013435398),12,Aurora United Methodist Church,3300  ETON ST
POINT (-90.093597135997 29.941467525147),231,My Redeemer Missionary Baptist Church,2829  WASHINGTON AVE
POINT (-89.94819366404 29.907777464193),199,Life Center Ministries,18  ENGLISH TURN DR
POINT (-90.086615040972 29.935419126754),229,Mt Bethel Baptist Church,2525  DANNEEL ST
POINT (-90.101137347711 29.95696514199),30,Beulah Baptist Church,1125 S SALCEDO ST
POINT (-90.06916773184 29.960062862691),81,Destiny Dominion Church,611 N RAMPART ST
POINT (-90.048548626443 29.945409432128),296,Saint John African Methodist Episcopal Church,1001  BELLEVILLE ST
POINT (-90.118995861381 29.99892261161),195,Lakeview Christian Center,5885  FLEUR DE LIS  DR
POINT (-90.080869304957 29.940398035716),346,St Matthew's Baptist Church,1626 S RAMPART ST
POINT (-90.042833426987 29.947689852166),25,Algiers Church of God,730  THAYER ST
POINT (-90.096630665277 29.938365670816),222,Mount Zion United Methodist Church,2700  LOUISIANA AVE
POINT (-90.082227463067 29.943913974846),397,Union Bethel AME Church,2321  THALIA ST
POINT (-89.95400604161 30.06666946603),250,New Home Full Gospel Cathedral,13800  HAYNE BLVD
POINT (-90.038917087658 29.991973186957),43,Carver Desire Baptist Church,3300  MONTEGUT ST
POINT (-90.052034868663 29.941010675761),3,All Saints Catholic Church,1405  TECHE ST
POINT (-89.993149063599 29.911810753028),440,Vietnamese Buddhist Fellowship,3932  WOODLAND DR
POINT (-90.110079584185 29.955880004867),302,Second Bethlehem Baptist Church,7001  FIG ST
POINT (-90.070201415952 29.945990892849),244,New Orleans Zen Temple,748  CAMP ST
POINT (-90.08378427753 29.935247138766),303,Second King Solomon Baptist Church,1820  PHILIP ST
POINT (-90.107758184859 29.939941100064),200,Kingdom Hall of Jehovah's Witnesses,4926 S CLAIBORNE AVE
POINT (-90.069053758735 29.967027458312),414,Zion Hill Missionary Baptist,1126 N ROBERTSON ST
POINT (-90.006523366837 29.916940648047),188,De Gaulle Drive Church of Christ,4700  GENERAL DEGAULLE DR
